@relation matoll
@attribute 'normalizedFrequency' numeric
@attribute 'averageLenght' numeric
@attribute 'overallRatioLabel' numeric
@attribute 'numberPattern' numeric
@attribute 'overallRatioEntries' numeric
@attribute 'SPARQLPattern_EN_7' {0,1}
@attribute 'SPARQLPattern_EN_8' {0,1}
@attribute 'SPARQLPattern_EN_1' {0,1}
@attribute 'SPARQLPattern_EN_2' {0,1}
@attribute 'SPARQLPattern_EN_3' {0,1}
@attribute 'SPARQLPattern_EN_4' {0,1}
@attribute 'SPARQLPattern_EN_5' {0,1}
@attribute 'pos_adjective' {0,1}
@attribute 'pos_commonNoun' {0,1}
@attribute 'pos_verb' {0,1}
@attribute 'class' {0,1}
@data
10,54.0,0.15384615384615385,1,0.02159827213822894,0,0,0,0,0,0,1,1,0,0,1
4,82.0,0.3333333333333333,1,0.01694915254237288,0,0,0,1,0,0,0,0,1,0,1
2,69.0,0.16666666666666666,1,0.0136986301369863,0,0,0,1,0,0,0,0,1,0,1
1,64.0,0.16666666666666666,1,9.560229445506692E-4,0,0,0,0,0,0,1,1,0,0,1
1,201.0,0.5,1,0.017543859649122806,0,0,1,0,0,0,0,0,0,1,1
3,88.0,0.5,1,0.012711864406779662,1,0,0,0,0,0,0,0,1,0,1
2,132.0,0.03773584905660377,1,0.031746031746031744,0,0,0,0,0,0,1,1,0,0,1
41,26.0,0.7735849056603774,1,0.36607142857142855,0,0,0,0,0,0,1,1,0,0,1
1,134.0,0.5,1,2.2276676319893073E-4,0,0,0,0,0,0,1,1,0,0,1
2,64.0,1.0,1,0.001610305958132045,0,1,0,0,0,0,0,1,0,0,1
129,47.0,0.410828025477707,1,0.5466101694915254,1,0,0,0,0,0,0,0,1,0,1
77,22.0,0.24522292993630573,1,0.5273972602739726,0,0,0,1,0,0,0,0,1,0,1
2,53.0,1.0,1,0.03389830508474576,1,0,0,0,0,0,0,0,1,0,1
2,150.0,1.0,1,0.0136986301369863,1,0,0,0,0,0,0,0,1,0,1
1,212.0,1.0,1,0.001277139208173691,0,0,1,0,0,0,0,0,0,1,1
1,118.0,0.5,1,0.016666666666666666,0,1,0,0,0,0,0,1,0,0,1
1,118.0,0.5,1,0.011494252873563218,0,1,0,0,0,0,0,1,0,0,1
1,89.0,0.08333333333333333,1,0.02127659574468085,0,0,0,1,0,0,0,0,1,0,1
9,74.0,0.75,1,0.03557312252964427,1,0,0,0,0,0,0,0,1,0,1
2,188.0,1.0,1,0.007905138339920948,0,0,0,1,0,0,0,0,1,0,1
